codIBGE,municipio,ano,UF,expecvida,AmpT,Tmax,Tmin,homicidios,mortinf,acidtrans,renda_pc,indgini,razao_renda,IDHM,lnexpecvida,lnAmpT,lnTmax,lnTmin,lnrenda_pc,d1990,d2000,d2010,regiao
1508035,Tracuateua,2000,PA,64.87,14.9,33.4,18.5,0,44.31,NA,115.22,0.55,17.55,357,4.17238526722496,2.70136121295141,3.50855589998265,2.91777073208428,4.74684334430424,0,1,0,Norte
1508035,Tracuateua,2010,PA,71.57,14.2,34.1,19.9,3.56,22.4,25.28,195.97,0.59,24.09,531,4.27067599175051,2.65324196460721,3.52929738428947,2.99071973173045,5.27796158629096,0,0,1,Norte
1508100,Tucuruí,1990,PA,64.83,10.5,32.7,22.2,11.02,45.82,6.13,257.52,0.57,18.82,544,4.1717684591869,2.35137525716348,3.48737507790321,3.10009228887823,5.55109738699055,1,0,0,Norte
1508100,Tucuruí,2000,PA,70.47,12.1,35.2,23.1,7.9,26.45,11.85,354.61,0.57,19.4,543,4.25518708733893,2.4932054526027,3.56104608260405,3.13983261752775,5.87101859403209,0,1,0,Norte
1508100,Tucuruí,2010,PA,73,12.3,36.2,23.9,59.32,18.35,27.14,534.02,0.57,18.93,666,4.29045944114839,2.50959926237837,3.58905911883173,3.17387845893747,6.28043329144236,0,0,1,Norte
1600303,Macapá,1990,AP,66.39,10.5,33.4,22.9,0,39.76,37.27,464.14,0.55,17.13,0.75,4.19554644273107,2.35137525716348,3.50855589998265,3.13113691056019,6.14018623085461,1,0,0,Norte
1600303,Macapá,2000,AP,67.89,9.7,33.2,23.5,41.82,24.12,28.22,506.43,0.6,24.54,622,4.21788874831356,2.27212588550934,3.50254987592244,3.15700042115011,6.22738611078141,0,1,0,Norte
1600303,Macapá,2010,AP,74.19,11.3,34.8,23.5,43.83,14.04,22.52,717.88,0.59,21.95,733,4.30662937020143,2.42480272571829,3.54961738678043,3.15700042115011,6.57630242416108,0,0,1,Norte
1600055,Serra do Navio,1990,AP,65.23,8.2,30.5,22.3,0,41.48,NA,292.45,0.55,19.53,NA,4.177919485808,2.10413415427021,3.41772668361337,3.10458667846607,5.67829371188903,1,0,0,Norte
1600055,Serra do Navio,2000,AP,68.68,NA,NA,NA,0,28.35,NA,278.6,0.66,39.84,569,4.22945803602927,NA,NA,NA,5.62977706134571,0,1,0,Norte
1600055,Serra do Navio,2010,AP,71.97,NA,NA,NA,0,19.4,22.01,484.63,0.6,25.29,709,4.27624936551971,NA,NA,NA,6.18338571319348,0,0,1,Norte
1716505,Pedro Afonso,1990,TO,63.39,17.6,35.3,17.7,0,49.61,14.89,280.3,0.57,18.89,536,4.14930612029607,2.86789890204411,3.56388296393925,2.87356463957978,5.63586045817074,1,0,0,Norte
1716505,Pedro Afonso,2000,TO,67.65,16.8,36.3,19.5,10.77,31.25,43.08,319.3,0.59,20.56,546,4.2143473546168,2.82137888640921,3.5918177412708,2.9704144655697,5.76613109972074,0,1,0,Norte
1716505,Pedro Afonso,2010,TO,75.77,19.7,38.5,18.8,25.46,12.4,16.97,618.56,0.5,12.97,732,4.32770243594328,2.98061863574394,3.65065824129374,2.9338568698359,6.42739419601997,0,0,1,Norte
1716604,Peixe,1990,TO,62.91,17.8,34.8,17,0,51.43,7.77,151.58,0.57,19.27,0.49,4.14170513358194,2.87919845729804,3.54961738678043,2.83321334405622,5.02111353838388,1,0,0,Norte
1716604,Peixe,2000,TO,67.87,17.4,36.1,18.7,11.1,34.09,33.28,244.1,0.54,15.61,482,4.21759411071567,2.85647020622048,3.58629286533884,2.92852352386054,5.49757797739891,0,1,0,Norte
1716604,Peixe,2010,TO,73.69,19.7,36.9,17.2,37.71,16.8,88.81,547.9,0.62,26.25,674,4.29986710477891,2.98061863574394,3.60821155104648,2.84490938381941,6.30609278854437,0,0,1,Norte
1718204,Porto Nacional,1990,TO,63.39,16.8,35.7,18.9,0,49.61,6.94,310.2,0.58,20.16,647,4.14930612029607,2.82137888640921,3.57515068878559,2.9391619220656,5.73721725074244,1,0,0,Norte
1718204,Porto Nacional,2000,TO,67.48,17.6,37.1,19.5,10.81,35.32,32.41,375.93,0.6,23.19,562,4.21183125767777,2.86789890204411,3.61361696961339,2.9704144655697,5.9294029558453,0,1,0,Norte
1718204,Porto Nacional,2010,TO,74.56,18.7,38.8,20.1,39.84,14.9,47.81,621.1,0.54,15.98,0.74,4.31160417037734,2.92852352386054,3.65842024662923,3.00071981506503,6.43149209956526,0,0,1,Norte
